include,title,description,keywords,type,type_title,type_subtype,publication_date,conceptdoi,conceptrecid,doi,id,authors,language
NO,MicroDraw. Online platform for the collaborative editing of cytoarchitectonic brain atlases.,"An A0 poster which is designed for fabric print and can be cut and sewed into shorts.

The poster was presented at the 2017 Annual Meeting of the Organization for Computational Neuroscience (OCNS) in Antwerp, 15–20 July.

Project:

Brain atlases parcellate the brain into discrete regions, which form organizational units in many computational models. Many brain atlases are derived from high resolution MR images, but to get access to the cellular organization (cytoarchitecture) of the tissue, atlases based on high resolution microscopy sections are needed. Until now, the complexity and data requirements of the atlas creation process have restricted it to the confounds of specialized laboratories. Here we present an online platform to accelerate this process by allowing it to be done publicly and collaboratively, in a web-based environment.

As a prototype of the platform, we created MicroDraw (http://microdraw.pasteur.fr).","- neuroscience
- microscopy
- cytoarchitectonic atlas creation
- openscience
- citizen science",poster,Poster,,2017-07-15,10.5281/zenodo.1344124,1344124,10.5281/zenodo.1344125,1344125,"- Heuer, Katja
- Bakker, Rembrandt
- Tiesinga, Paul
- Toro, Roberto",eng
NO,MOM: an Extensible Platform for Rapid Prototyping and Design of Electroacoustic Instruments,"This paper provides an overview of the design, prototyping, deployment and evaluation of a multi-agent interactive sound instrument named MOM (Mobile Object for Music). MOM combines a real-time signal processing engine implemented with Pure Data on an embedded Linux platform, with gestural interaction implemented via a variety of analog and digital sensors. Power, sound-input and sound-diffusion subsystems make the instrument autonomous and mobile. This instrument was designed in coordination with the development of an evening-length dance/music performance in which the performing musician is engaged in choreographed movements with the mobile instruments. The design methodology relied on a participatory process that engaged an interdisciplinary team made up of technologists, musicians, composers, choreographers, and dancers. The prototyping process relied on a mix of in-house and out-sourced digital fabrication processes intended to make the open source hardware and software design of the system accessible and affordable for other creators.",,publication,Conference paper,conferencepaper,2018-06-01,10.5281/zenodo.1302680,1302680,10.5281/zenodo.1302681,1302681,"- Momeni, Ali
- McNamara, Daniel
- Stiles, Jesse",
NO,Monitoring and management of Cerambyx cerdo in the Mediterranean region – a review and the potential role of citizen science,"The Great Capricorn beetle, Cerambyx cerdo, and Mediterranean oak habitats (Quercus ilex – 9340 and Quercus suber – 9330) are protected by the Habitats Directive (HD). However, in the Mediterranean basin, these habitats are also traditionally used for animal, wood, and cork productions. Cerambyx cerdo feeds into the wood of trees and can be perceived by forest practitioners as an umbrella species or as a pest, depending on the context. Monitoring programmes involving forest practitioners could thus focus on assessing: 1) the conservation status of the Great Capricorn beetle and habitats (distribution and abundance of insects and reproductive sites or colonised trees), 2) pest status, and 3) management options to achieve both conservational and economic benefits. Considering that Cerambyx cerdo and Cork and Holm oak forests are not priority species or habitats under the HD, targeted funding is likely to be limited for monitoring. In this context, citizen science could gather important information on the target species useful for the monitoring programmes and management. To address management questions, the citizen science based programme for Cerambyx cerdo monitoring and habitat conservation should be seen not only as citizens collecting good data sets, but also as a deeper collaboration amongst different knowledge bodies and perspectives within a community – based environmental monitoring and learning network.","- Animalia
- Arthropoda
- Insecta
- Coleoptera
- Cerambycidae
- Cerambyx
- Cerambyx cerdo
- Citizen Science
- Habitats Directive
- Monitoring protocol
- Saproxylic beetle",publication,Journal article,article,2017-07-31,,1139293,10.3897/natureconservation.19.12637,1139294,"- Casula, Paolo",
NO,Monitoring of saproxylic beetles in Croatia: following the path of the stag beetle,"As a member of the European Union, Croatia is obliged to report on the conservation status of 220 animal non-bird species listed in the annexes of the Habitats Directive (92/43/EEC), for which purpose a monitoring system is being established. Concerning saproxylic beetles, seven species present in its territory have to be monitored: Lucanus cervus, Cerambyx cerdo, Morimus funereus, Rhysodes sulcatus, Cucujus cinnaberinus, Rosalia alpina and Osmoderma eremita complex. Out of these species, a monitoring programme has only been established for Lucanus cervus, which partially includes participation of non-experts. In 2015 and 2016, a public campaign was organised in order to collect observations of Lucanus cervus and two other saproxylic beetles that are easily recognisable by the public: Morimus funereus and Rosalia alpina. Data gathered through this campaign serve as an addition to the mapping activities and monitoring of the species' range. So far, more than 650 citizen observations have been collected, providing data on species presence in 216 10×10 km2 grid cells intended for reporting on the species' range. Besides the public campaign, since 2014, public institutions for managing nature protected values have been involved in population monitoring for which they received education through several workshops. Altogether, 21 sites have been included in the monitoring of the stag beetle so far. Data collected for Lucanus cervus on standard transects, by tree and ground pitfall traps and tree trunk surveys at night will be discussed. To the present time, eight public institutions have been involved in stag beetle population monitoring and the number has been continuously increasing.","- citizen science data (CSD)
- Lucanus cervus
- Habitats Directive
- habitat suitability model
- monitoring
- reporting
- Morimus funereus
- Rosalia alpina
- species distribution range
- observation on transects",publication,Journal article,article,2017-07-31,,1139303,10.3897/natureconservation.19.12683,1139304,"- Katušić, Luka
- Jelaska, Sven D.
- Šerić Jelaska, Lucija",
,Motivating Citizen Scientists to Dive with Sharks," 

 

How do you get citizen scientists to dive with sharks?  

 

 

Given the current level of Galeophobia, or fear of sharks, that's an excellent question. Most people will leave the water immediately if they think a shark is in the area. Oddly, the greatest number of those who fear sharks seem to come from those who rarely, if ever, go into the ocean—so, clearly, this is a primal fear, much like snakes or spiders.

 

Enter: the average scuba diver. Our experience at Ocean Sanctuaries suggests that many (but not all) divers have great respect for these apex predators and—ready for this? —Can't wait to dive with them. They engender such awe and fear, that merely being in the vicinity of a shark is an adrenaline rush for many divers,  to say nothing of the 'fish tales' which will be told later.

 

But, what about collecting scientific data on sharks? Again, our experience has been that there is a sub- group of 'self-selecting,' highly motivated divers, who are eager to get close enough to a shark to photograph it. In fact, they don't need to be asked twice.","- citizen science, sharks, data collection",other,Other,,2019-01-15,,1419341,10.13140/RG.2.2.28862.95042,1419342,- Michael Bear,eng
NO,Mystery mushroom malingerers: Megaselia marquezi Hartop et al. 2015 (Diptera: Phoridae),"A mysterious female phorid fly, known for many years to be associated with fungal sporophores (""mushrooms"") is identified as Megaselia marquezi Hartop et al. 2015. Male and female flies were collected emerging from the fungus Psathyrella candolleana (Fr.) Maire, and females were observed swarming over the sporophores.","- Animalia
- Arthropoda
- Insecta
- Diptera
- Phoridae
- Megaselia
- Cephalornis
- Coelenterata
- Bilateria
- Nephrozoa
- Protostomia
- Ecdysozoa
- Circumscriptional names of the taxon under
- Notchia
- Carbotriplurida
- Boltonocostidae
- Circumscriptional names
- Pterygota
- Circumscriptional name
- Basal
- Eumetabola
- Strashila incredibilis
- Panorpida
- Antliophora
- Hennigmatidae
- Origoasilidae
- Muscomorpha
- Platypezoidea
- Phoroidea
- Neopleurophora
- Beckerinini
- Neodohrniphora
- Megaselia bisticta
- Natural history
- Diptera
- fungivore
- urban
- biodiversity
- citizen science",publication,Journal article,article,2017-08-28,,899208,10.3897/BDJ.5.e15052,899209,"- Brown, Brian
- Hartop, Emily",
NO,Naučiti prvake Python,"Conference paper on in-house experiences in computer science education of freshman by introducing Python programming for PSSOH 2018 conference organized by the University of Belgrade - School of Electrical Engineering.

Abstract in English: ""Programming courses are important part in education of electrical and computer engineers. In the past several years, there is an ongoing dispute about which programming language should be first taught to freshman students. In this paper, we present our experiences with the introduction of the programming language Python to a volunteer, experimental group of freshman students. We discuss the motivation for the choice of Python, the content and organization of the course, student success, and potential problems with introduction of Python for freshman students.""
Keywords in English: learning programming; programming languages; Python; teaching methodology.","- učenje programiranja
- metodologija nastave
- programski jezici
- Python",publication,Conference paper,conferencepaper,2018-10-13,10.5281/zenodo.1411183,1411183,10.5281/zenodo.1469775,1469775,"- Mišić, Marko
- Delčev, Sanja
- Šekularac, Tamara",srp
NO,"New records of Tachybaptus dominicus (Linnaeus, 1766) (Aves, Podicipedidae) south of its currently known distribution in Argentina","We report on 4 records of the Least Grebe, Tachybaptus dominicus (Linnaeus, 1766), to the south of its theoretical distributional limit in Córdoba Province, Argentina. In recent years, these records and others uploaded to citizen science platforms suggest that this species’ distribution extends south of its currently known range.
","- Citizen science
- Córdoba
- Least Grebe
- range extension",publication,Journal article,article,2019-05-24,,3236611,10.15560/15.3.421,3236612,"- Castillo, Santiago
- Costas, Santiago Martín
- Toledo, Martín
- Giaquinta, Adrián",
NO,New Research Opportunities by Open Data: Open Source GIS meets the DWD Open Data Portal,A conference poster (EaPEC 2018) highlighting the new opportunities for (citizen) science enabled by open source software tools and open data provided by DWD. ,"- Open Data
- INSPIRE
- Open Source
- Open Science
- metereology
- weather data
- radar
- weather radar
- DWD
- Deutscher Wetterdienst",poster,Poster,,2018-10-18,10.5281/zenodo.1468894,1468894,10.5281/zenodo.1468895,1468895,"- Löwe, Peter
- Hafer, Mario",eng
NO,Nightlife Journey of Clubbers Inspires Emerging Designers to Develop a Visionary Concept Club,"The global design project of Heineken - 'Open Design Explorations Edition 1: The Club' - invited 19 emerging designers from around the world to co- create the club of tomorrow. To immerse in the nightlife journey, the design team connected with over 120 design-savvy clubbers in an online research community. Understanding the needs and emotions of clubbers was crucial in developing a visionary take on club design; triggering the senses and facilitating social interaction. By approaching this collaboration project from a service design perspective, the team was able to transcend the individual disciplines – interior, product, fashion, graphic and interaction design – in their creative process. In only one year, this project was taken from crowd-sourcing the design team and developing the briefing to the launch of the Heineken concept club at the Salone del Mobile 2012 in Milan.","- co-creation
- consumer journey map
- service design
- online research community
- interactive infographic",publication,Conference paper,conferencepaper,2019-03-24,10.5281/zenodo.2604827,2604827,10.5281/zenodo.2604828,2604828,"- Troch, Thomas
- De Ruyck, Tom",
NO,"Non-native reef fishes in the Southwest Atlantic Ocean: a recent record of Heniochus acuminatus (Linnaeus, 1758) (Perciformes, Chaetodontidae) and biological aspects of Chromis limbata (Valenciennes, 1833) (Perciformes, Pomacentridae)","In the present paper, we document a recent record of the Bannerfish, Heniochus acuminatus, an Indo-Pacific species, in the southwest Atlantic Ocean and comment on biological aspects of the Azores Chromis, Chromis limbata, an invasive reef fish in the western Atlantic Ocean. We suggest that investigations of invasive species along the Brazilian coast can use data provided by citizen science, strengthening the non-native reef fish control strategies.","- Bioinvasions
- reef fish
- Bannerfish
- Azores Chromis
- citizen science
- Brazil",publication,Journal article,article,2018-03-23,,1222732,10.15560/14.2.379,1222733,"- Adelir-Alves, Johnatas
- Soeth, Marcelo
- Braga , Raul Rennó
- Spach, Henry Louis",
NO,"Not Profit Technologies: Emphasizing Open Source Cloud Computing,","Not Profit Technologies is an important aspect these days and mainly dedicated to the

building and designing of technologies and products which are mainly used for the

community or society or other public or organization. Virtually, it comprises IT and ECE

system which supports the goal of nonprofit, nongovernment, grassroots and so many

dedicated organizations. Not Profit Technologies may be software technology,

communication technology, multimedia technology, networking technology, and any other

technologies which are mainly used for the community or any purposes. However, some tools

and technologies are created mainly for the use of nonprofit organizations. This paper talks

about the Not Profit Technologies including its inner meaning and characteristics and

speedily open source cloud platform in a brief manner.","- Technologies, Cloud Computing, Open Source Software, FOSS, NGO, Non-Profit Technologies, Community Science, Computing, Computing, Open Source,",publication,Journal article,article,2017-08-25,10.5281/zenodo.997972,997972,10.5281/zenodo.997973,997973,"- Paul, P. K
- Sreeramana Aithal
- Bhuimali, A.",
NO,Notes of Life: A platform for recording species observations driven by artificial intelligence,"Biodiversity research is stepping into a big data era with the rapid increase in the abundance of biodiversity data, especially the large number of species images. It has been a new trend and hot topic on how to utilize artificial intelligence to mine big biodiversity data to support wildlife observation and recognition. In this research, we integrate large numbers of species images, including higher plants, birds and insects, and use a state-of-the-art image deep learning technique to train species auto-recognition models. Currently, we get a model that can recognize more than 900 Chinese birds with top 1 accuracy 81% and top 5 accuracy 95% (top n accuracy means the probability that the correct answer presents in top n predicted results), and more models are coming soon. Based on these models, we developed a platform named Notes of Life (NOL, http://nol.especies.cn), which includes a website and a mobile application (app) for assisting biological scientists and citizen scientists to recognize and record wildlife. Users can upload their observation records and images of wildlife through our mobile app while they are investigating in the wild. The website is used for bulk data uploading and management. Species images can be classified by taxon-specific, plug-in recognition models that speed up the process of identification. There is an expert module in NOL where citizen scientists can work interactively with information provided by biological scientists, and post a species image identification request to experts when they cannot recognize the species by themselves or from models. The expert module is for improving the quality of citizen science data, and it is a supplement of the disadvantage of species auto-recognition models. Above all, NOL embraces the idea that scientific research supports citizen science and citizen science gives feedback to science, and of finding a sustainable way to collect increasingly more reliable data for biodiversity research.","- biodiversity data
- deep learning
- species recognition
- citizen science",publication,Journal article,article,2019-06-13,,3251272,10.3897/biss.3.37010,3251273,"- Lin, Congtian
- Wang, Jiangning
- Ji, Liqiang",
,"Nuevas modalidades de participación ciudadana en ciencia: hibridación, satelización y despatrimonialización","La participación ciudadana en ciencia conoce en nuestra época una verdadera edad dorada. Hace apenas unas décadas era inimaginable la creciente influencia que la ciudadanía iba a tener en la marcha de la ciencia. Y, aunque algunos movimientos de activistas contra las nucleares lograron en los 80 situar en la agenda política de muchos gobiernos la resistencia popular al desarrollo de esta fuente de energía, lo cierto es que la presencia hoy de las ONG en la toma de decisiones comienza a ser algo habitual y, en algunos casos, alcanza la condición de estructural. Las sociedades modernas han necesitado explorar formas muy innovadoras de organización social que les permitan afrontar las nuevas encrucijadas a las que nos aboca la llamada sociedad del riesgo. Nadie discute que estamos hablando de asuntos de extrema gravedad, como lo manifiesta la experiencia adquirida durante las anteriores crisis del SIDA, de los alimentos y cultivos transgénicos y de las vacas locas. En su conjunto, los tres casos señalados (entre los muchos que podríamos mencionar) comparten algunos aspectos que aquí queremos subrayar. Quienes desde responsabilidades de gobierno o empresariales lamentaron el desbordamiento del tradicional sistema de expertos por los movimientos de agitación ciudadana, aprendieron que la gestión de estos conflictos tiene que ser menos vertical y más dialogante. Descubrieron también que no es fácil hacer frente a organizaciones que saben aprovechar muy bien las múltiples oportunidades que ofrecen las nuevas tecnologías de la información y de la comunicación (TIC).","- citizen science
- participation in science
- hackers
- amateur",other,Other,,2019-03-27,10.5281/zenodo.2611086,2611086,10.5281/zenodo.2611087,2611087,"- Antonio Lafuente
- Miquel Vidal
- Javier Pueyo
- Nuria Valverde-Pérez",spa
NO,Observer Based Control of a Class of Nonlinear Fractional Order Systems using LMI,"Design of an observer based controller for a class of fractional order systems has been done. Fractional order mathematics is used to express the system and the proposed observer. Fractional order Lyapunov theorem is used to derive the closed-loop asymptotic stability. The gains of the observer and observer based controller are derived systematically using the linear matrix inequality approach. Finally, the simulation results demonstrate validity and effectiveness of the proposed observer based controller.","- Fractional order calculus
- Fractional order observer
- Linear matrix inequality
- Nonlinear Systems
- Observer based
Controller.",publication,Journal article,article,2012-01-21,10.5281/zenodo.1076823,1076823,10.5281/zenodo.1076824,1076824,"- Elham Amini Boroujeni
- Hamid Reza Momeni",eng
NO,OCEAN FRONTIERS FOR SUSTAINABLE DEVELOPMENT,"CONTRIBUTING TO THE UNITED NATIONS SUSTAINABLE DEVELOPMENT GOALS & THE UNITED NATIONS DECADAL OF OCEAN SCIENCE INITIATIVES.

FRONTIERS IN OCEAN RESEARCH
The Ocean is the cradle of life and the central component making our planet habitable. Being the largest ecosystem supporting life on Earth, it is paramount we maintain and restore its health in a global context. Thus, the Ocean needs to be present on every agenda for the sustainable development of the world’s population, societies and economies. This manifesto advocates for the increased understanding, protection and management of the Ocean to support the health and well-being of present and future generations.

MANAGE OCEAN COMPLEXITY

The Ocean is by far the largest reservoir of heat in the global climate system and exerts a fundamental contribution in regulating global warming over short (decades) and long (millennia) time scales. Human population growth and climate change are major drivers acting on all ecosystems, with the Ocean being no exception. Increasing temperatures at all depths, acidification, sea level rise, loss of biodiversity, migration of species and habitat destruction and degradation are all consequences of these drivers. Hence, it is necessary that cumulative human pressures (e.g. pollution, plastics, maritime traffic, overfishing, aquaculture, eutrophication, seabed mining, introduced species), the interactions of stressors, and their combined effects on Ocean ecosystem composition and function are understood, assessed and sustainably managed to allow the same opportunities from the Ocean for our future generations. A systemic approach for the integrated assessment of the state of marine ecosystems and the resilience to cumulative pressures is key to promoting the responsible use of marine resources without compromising the future of our Ocean and consequently the future of humankind.

We need to understand and assess the complex interactions of marine systems, anthropogenic drivers and the role of global cumulative impacts with regard to the provision of goods and services in a changing environment. A safe and resilient Ocean will provide more food and other societal benefits, including increased employment, without compromising our future.

SECURE COASTAL AREAS

Global mean sea level is expected to rise by the end of this century and will have a direct impact on coastal areas which currently accommodate over 40% of the world’s populations. This coastal population is increasing disproportionally and it is expected that the majority of future megacities will be located on the coast. These are also areas that sustain keystone breeding and nursery habitats for commercial seafood stocks, have important carbon sequestration functions and constitute the major focus for commercial, aesthetic and touristic activities. The future will thus pose several challenges for the management of coastal areas, from the huge increase in anthropogenic pressures to the need for reconversion and adaptation of present day urban infrastructures. Today, we have the opportunity to develop and demonstrate new nature-based and smart eco-engineering solutions for the sustainable development of our marine urban areas, thereby safeguarding our future well-being.

We must create innovative and coordinated solutions for safe, inclusive, smart, resilient and sustainable marine urban spaces. New monitoring, conservation and restoration measures of marine urban spaces should expand the “Blue” component of present day “Grey” cities, to benefit local populations and global Ocean health.

TARGET OCEAN AND HUMAN HEALTH

Oceans can affect human health in many ways through ingestion of pathogenic microbes or algal toxins, or exposure to toxic chemicals such mercury, lead and pesticides that can cause severe illness. Oceans can also provide enormous human and industrial benefits, through the provision of protein, pharmaceuticals, biofuels and more which in turn support jobs and national economies. A healthier Ocean that is better managed could ensure that the benefits from the exploitation of Ocean resources are sustainably and equitably shared. However, we still face significant gaps in our knowledge of the Ocean. We still have not determined how to balance its opportunities while nurturing the health of its ecosystems. Many species in marine ecosystems are not yet described, and their ecological role and associated services not identified. Just as the study of the human microbiome has revolutionized the field of human health, the study of the Ocean microbiome opens up a new field of discoveries and knowledge. Ocean microbiomes and connectivity between ocean regions are major drivers of biogeochemical processes and play an essential but still poorly understood role in the functioning of marine ecosystems. A better understanding of the complex interactions between oceans and human well-being could allow for the better management of marine resources while preserving all the Ocean ecosystem services provided to our societies.

There is a need to achieve global healthy oceans by characterizing major ecosystems and  understanding the functioning and connectivity of local marine ecosystems to: (a) preserve and enhance associated Ocean services such as increased provision of food, discovering new pharmaceutical products, developing renewable sources of energy, improving recreation and transport; (b) maintain and increase all the cultural and aesthetic services provided to future societies.

PROTECT OCEAN COMMONS

Societies and individuals across the globe benefit from the natural and cultural benefits and services provided by the Ocean. The distribution of these “Ocean commons” is changing. The melting Arctic ice cap, reduction of wild seafood provision, emergence of harmful pathogens and parasites, and previously inaccessible Ocean spaces (e.g. the deep sea) now increasingly within human reach, are challenges that need to be addressed by responsible Ocean governance to reduce the potential for conflict at all levels and ensure human well-being. Current knowledge on how to relate and govern Ocean dynamics and associated societal changes is fragmented, and observations of resource distribution and dynamics are scant and insufficiently accessible. We need to advance theory, observations and modelling of the complex global Ocean to forecast, manage and mitigate these changes. New platforms, sensors, methods, holistic approaches (e.g., systems biology, meta-omics, and ecosystem approaches) and novel theoretical frameworks linking evolutionary theory and oceanography as well as marine social sciences and humanities can provide an integrated framework to inform decision making on the governance of the Ocean commons. Empowering Ocean observations (e.g., citizen science framework, robotics, artificial intelligence) and robust science-based thinking at national and international levels will promote diplomacy and wider societal actions to support responsible and sustainability-enhancing Ocean governance.

Better predictions, observations and theory are needed to manage and share the “Ocean commons” in a fair and responsible way under the present global challenges. These will also ensure that the benefits from the exploitation of Ocean resources can be sustainably managed and equitably shared.","- Ocean Research
- Mission
- SDG 14
- Sustainable Development",publication,Report,report,2018-11-26,10.5281/zenodo.1494916,1494916,10.5281/zenodo.1494917,1494917,- EUROMARINE Network,eng
,OcteraIS/so_design: Preprint for review,Design questions and answers from StackOverflow,,software,Software,,2019-04-07,10.5281/zenodo.2631943,2631943,10.5281/zenodo.2631944,2631944,- Neil Ernst,
NO,Offene Wissenschaft – wo stehen wir tatsächlich?,"„Open Science“ bedeutet zuende gedacht die komplette Öffnung des wissenschaftlichen Arbeitsprozesses von der Antragsstellung bis hin zu Kommunikation und Nachnutzung der Ergebnisse. Während bei der Zugänglichmachung von Publikationen im Open Access sowie von Forschungsdaten nach dem FAIR-Data-Prinzip schon viel erreicht wurde (wenngleich auch längst noch nicht alle Probleme gelöst sind) und beides von unterschiedlichen Stakeholdern im Wissenschaftsbetrieb (z.B. Wissenschaftler*innen, Forschungsförderer, Bibliotheken) vorangetrieben wird, steht man bei der Öffnung der übrigen Stadien des wissenschaftlichen Arbeitsprozesses teilweise noch am Anfang, was eine Diskussion und Konsensbildung im Hinblick auf die Notwendigkeit, die Bereitstellung von verlässlicher Infrastruktur, Setzung von Standards und Vereinheitlichung von Workflows sowie die Schaffung von Anreizen angeht. Der Vortrag gibt einen schlaglichtartigen Überblick, wie sich hier der aktuelle Stand bei Öffnung der Antragsstellung, offene Methoden, offene Protokolle, offene Laborbücher, Open Peer Review, offene Metriken, Open Educational Resources, Open Innovation und Citizen Science darstellt. Anschließend soll mit den Teilnehmenden diskutiert werden, ob und wie die Öffnung auch hier gelingen kann.",- Open Science,presentation,Presentation,,2018-10-01,10.5281/zenodo.1440981,1440981,10.5281/zenodo.1440982,1440982,"- Schmitz, Jasmin",deu
NO,On Supporting a Meta-design Approach in Socio-Technical Ontology Engineering,"Many studies have revealed the fact of the complexity
of ontology building process. Therefore there is a need for a new
approach which one of that addresses the socio-technical aspects in the
collaboration to reach a consensus. Meta-design approach is
considered applicable as a method in the methodological model of
socio-technical ontology engineering. Principles in the meta-design
framework are applied in the construction phases of the ontology. A
web portal is developed to support the meta-design principles
requirements. To validate the methodological model semantic web
applications were developed and integrated in the portal and also used
as a way to show the usefulness of the ontology. The knowledge based
system will be filled with data of Indonesian medicinal plants. By
showing the usefulness of the developed ontology in a semantic web
application, we motivate all stakeholders to participate in the
development of knowledge based system of medicinal plants in
Indonesia.","- Socio-technical
- meta-design
- ontology engineering
methodology
- semantic web application.",publication,Journal article,article,2014-11-02,10.5281/zenodo.1097440,1097440,10.5281/zenodo.1097441,1097441,"- Mesnan Silalahi
- Dana Indra Sensuse
- Indra Budi",eng
NO,On the borderline between hardware and software: Free instruction set architectures as an alternative,Abstract on free instruction set architectures for PSSOH 2018 conference organized by University of Belgrade - School of Electrical Engineering.,"- microprocessors
- system-on-chip
- Instruction Set Architecture (ISA)
- RISC-V
- open-source hardware",publication,Conference paper,conferencepaper,2018-09-20,10.5281/zenodo.1411139,1411139,10.5281/zenodo.1411140,1411140,"- Milovanović, Vladimir",eng
NO,"Online image databases as multi-purpose resources: discovery of a new host ant of Rickia wasmannii Cavara (Ascomycota, Laboulbeniales) by screening AntWeb.org","Public awareness has been raised on the importance of natural history and academic collections for science and society in a time when reduced financial support and staff cuts are prevalent. In the field of biology, new species and new interspecies associations are constantly discovered by making use of museum collections, digitalised materials or citizen science programs. In our study, the Myrmica Latreille, 1804 image collection of AntWeb.org was screened for fungal ectoparasites. A total of 397 imaged specimens from 133 species were visually investigated. A single specimen of M. hellenica Finzi, 1926, collected in Greece by U. Sahlberg, showed a conspicuous fungal infection. The parasite was identified using microscopic methods as Rickia wasmannii Cavara, an ectoparasitic fungal species specialised to Myrmica ants. This finding represents a new country record and a new Myrmica species for the host spectrum of R. wasmannii. According to our results, online entomological databases can be screened relatively easily for ectoparasitic fungal infections from new hosts and new regions. However, depending on quality of the insect voucher photos, additional investigation of the material could be needed to confirm the identity of the parasite.","- Fungi
- Ascomycota
- Laboulbeniomycetes
- Laboulbeniales
- Laboulbeniaceae
- Rickia
- Rickia wasmannii
- Biological collections
- database
- Myrmica hellenica
- distribution
- Greece",publication,Journal article,article,2017-12-20,,1138953,10.3897/jhr.61.20255,1138954,"- Báthori, Ferenc
- Pfliegler, Walter P.
- Zimmerman, Carl-Ulrich
- Tartally, András",
NO,Open Access - nicht nur ein Thema für wissenschaftliche Bibliotheken,"Vortrag im Rahmen der Open-Access-Tage 2017, Dresden, 12.09.2017 in der Zentralbibliothek der Städtischen Bibliotheken Dresden: Einführung ins Thema Open Access, Recherche-Datenbanken-Freie Angebote im Internet, Citizen Science, Open Innovation, u.a.m.",,presentation,Presentation,,2017-09-29,10.5281/zenodo.999344,999344,10.5281/zenodo.999345,999345,"- Schmitz, Jasmin",
NO,"Open Access für Forschungsdaten – Das Forschungsdaten-Policy-Kit, ein modularer Baukasten für die Entwicklung institutioneller Forschungsdaten-Policies","Open Access trägt dazu bei, den Wert von Forschungsdaten dauerhaft zu erhalten, indem frei zugängliche Forschungsdaten nicht nur in Wissenschaft und Forschung, sondern auch im Rahmen von Citizen Science nachgenutzt werden können und durch die Anwendung neuer Fragestellungen neue Erkenntnisse ermöglichen.

Forschungsdaten-Policies sind ein Instrument, um Open Access von Forschungsdaten zu fördern. Sie bieten den Forschenden einen Orientierungsrahmen, der Transparenz und Klarheit für den Umgang mit Forschungsdaten schafft und sorgen dafür, dass die Forschenden die Anforderungen der Drittmittelgeber erfüllen können. Gleichzeitig fördern und unterstützen die Hochschulen die Forschenden mit Infrastrukturdiensten, damit sie ihre Forschungsdaten langfristig aufbewahren und Open-Access zugänglich machen können.

Jede Einrichtung hat im Bereich Forschungsdatenmanagement ihre individuellen Rahmenbedingungen, die bei der Erstellung ihrer Forschungsdaten-Policy zu berücksichtigen sind. Das Forschungsdaten-Policy-Kit der Technischen Universität Berlin ist daher als modulares Baukastensystem gestaltet, das sowohl den allgemeinen als auch den individuellen Bedingungen Rechnung trägt. Mithilfe von Leitfragen und Textbausteinen kann sich jede Hochschule ihre eigene Forschungsdaten-Policy zusammenstellen. Ergänzend soll ein Leitfaden den strategischen Prozess der Etablierung der Forschungsdaten-Policy unterstützen.

Das Forschungsdaten-Policy-Kit wurde 2018 von der Technischen Universität Berlin im Rahmen des BMBF-Verbundprojekt FDMentor entwickelt. In die Erstellung sind sowohl die Ergebnisse aus der Analyse der bislang veröffentlichten institutionellen Forschungsdaten-Policies deutscher Universitäten als auch die Resultate aus dem Abgleich mit internationalen Empfehlungen sowie die Bilanz aus Experteninterviews eingeflossen.",,poster,Poster,,2018-10-22,10.5281/zenodo.1469009,1469009,10.5281/zenodo.1469010,1469010,"- Hiemenz, Bea
- Kuberek, Monika",
NO,Open and participatory citizen social science for evidence-based decision making,"How can we best combine citizen science and participatory social research to produce benefits for involved citizens and communities, researchers, and society at large? An open and participatory citizen social science enables citizens to co-design and intervene in evidence-based decision-making processes by combining diverse modes of participation in many phases of research from setting the research agenda, contributing e.g. to the design of indicators, policy measures, and community action, to evaluating the outcomes. We are working in an international partnership on a citizen social science framework that combines approaches from open science, citizen science, participatory social research and data activism.","- Citizen Social Science
- Citizen Science
- Participatory Action Research
- Data Activism
- Open Science",publication,Conference paper,conferencepaper,2018-11-01,10.5281/zenodo.1479272,1479272,10.5281/zenodo.1479273,1479273,"- Mayer, Katja
- Kieslinger, Barbara
- Schäfer, Teresa",
NO,Open Culture for Education:  How can community labs contribute to democratize knowledge?,"Abstract

Information is power, but how is this power distributed in our society? It is a fact that the distribution of information (the public knowledge) is not equal for all of us. Conventionally, this is called inequality of educational opportunity. Currently, we are living within the impact of such inequality, also with the globalization phenomenon, which has left us inside of a global crisis (the most important capitalist crisis since World War II). Nevertheless, we have the community forces. For example: The Fab-Labs networks, which are a global network that encourage the empowerment of communities through grassroots technology, being the most significant culture to an open access. Moreover, we have do-it-your-self and open source/hardware to promote the inclusive education in Latin America.

This article pretends to contribute with a big proposal: the democratization of knowledge from Fab-Labs in all Latin American. This approach is aimed to impulse the reciprocity principle (known as Ayni in Quechua) by encouraging to generate community labs based on PUQUNA vision. Such initiative is described here for trying to achieve an open dynamic social ecosystem, and how we are going to get it by empowering citizens, through self-management and cooperation between us in order to reach an authentic cultural integration.","- Open Access
- Inclusive Education
- Globalization
- Cultural Integration
- Community Labs",publication,Conference paper,conferencepaper,2018-11-11,10.5281/zenodo.1482778,1482778,10.5281/zenodo.1482779,1482779,- David Chaupis-Meza,eng
